"id","hair_type","age","created","value"
"320f665b-58fe-4fae-b91e-1573a5982cb3","liso",46,"2022-01-05 09:38:32.582781+00",52.88
"8051ebc8-b126-4722-a11c-8f1c2b4ab4ba","ondulado",19,"2022-01-05 10:06:05.562914+00",58.86
"c6c7aad0-9223-40d3-9694-882d98b3d77c","liso",27,"2022-01-05 10:33:38.543046+00",85.17
"a6c9f562-9ee4-4033-913b-26520e5d1684","liso",21,"2022-01-05 11:01:11.523179+00",69.89
"0a277ef1-3fe3-4510-a8a6-7be463c4eed6","crespo",25,"2022-01-05 11:28:44.503311+00",93.69
"7e22298d-6902-4343-8c82-142c06d7a537","ondulado",38,"2022-01-05 11:56:17.483444+00",57.4
"8ce66e79-3b9e-4d78-93c5-187af4c43554","liso",39,"2022-01-05 12:23:50.463576+00",92.12
"7c0f8eab-d47c-4a2e-b929-d6446566cecd","crespo",40,"2022-01-05 12:51:23.443709+00",92.65
"6dd4b617-762b-498d-9762-d514c8582444","crespo",27,"2022-01-05 13:18:56.423841+00",68.36
"8408073d-aa76-41cd-9da6-e2f13437759f","cacheado",25,"2022-01-05 13:46:29.403974+00",83.37
"e73041b0-69f1-4698-8d5d-1312b6249ea2","cacheado",23,"2022-01-05 14:14:02.384106+00",73.0
"2fa11320-a888-457b-9b28-7f47bea13c96","ondulado",23,"2022-01-05 14:41:35.364238+00",74.03
"fb5aa626-2695-495c-9b4b-bb7d324064f8","ondulado",49,"2022-01-05 15:09:08.344371+00",94.97
"29f1ba2e-3e6d-446f-848f-ceda4769b7e2","cacheado",28,"2022-01-05 15:36:41.324503+00",52.38
"10622143-8bef-4eac-8213-346eba31b0b3","cacheado",33,"2022-01-05 16:04:14.304636+00",70.81
"31944c31-0abd-4c78-ad45-c98a38168cfa","ondulado",30,"2022-01-05 16:31:47.284768+00",54.67
"9fc420b3-de1c-4d24-9dd4-f2189ec0c427","ondulado",55,"2022-01-05 16:59:20.264901+00",66.67
"739d0396-3f88-493c-bbe3-41ceb2d1c800","crespo",32,"2022-01-05 17:26:53.245033+00",70.98
"1d7e094e-9e51-4ee1-bfda-1c987fe364f1","liso",34,"2022-01-05 17:54:26.225166+00",63.74
"07d324fc-9b41-45c0-8f44-4e80bea38bc0","liso",27,"2022-01-05 18:21:59.205298+00",89.67
"5278b849-f208-4904-b781-f42bb6bd95fb","crespo",24,"2022-01-05 18:49:32.18543+00",53.32
"68e05ece-0bec-4a57-aabb-813e0333c2a5","ondulado",48,"2022-01-05 19:17:05.165563+00",55.45
"41e219b4-5bb9-4d11-af77-5ffd24ef7cf5","crespo",23,"2022-01-05 19:44:38.145695+00",50.12
"70fd3f2f-34ab-44c0-ab26-dec0489f4f3c","ondulado",43,"2022-01-05 20:12:11.125828+00",59.86
"c063b75a-1387-4bce-9907-9d1659b75b57","liso",24,"2022-01-05 20:39:44.10596+00",53.45
"146f0298-e4f1-4121-b5e8-7f1fddc383c0","ondulado",44,"2022-01-05 21:07:17.086093+00",85.98
"31f7340f-eeba-4e35-896a-d556968e867d","liso",30,"2022-01-05 21:34:50.066225+00",95.44
"67af5445-bc38-4e44-9cbd-6d0386ca7404","cacheado",41,"2022-01-05 22:02:23.046358+00",74.6
"c6e427c3-c617-4a04-84c0-48f2e664616b","liso",49,"2022-01-05 22:29:56.02649+00",71.77
"a360e9f8-a625-443e-a9b7-c60f34cd3b52","liso",41,"2022-01-05 22:57:29.006623+00",94.13
"51db7a45-74ee-4ef1-8e97-2c53eb2fe189","cacheado",20,"2022-01-05 23:25:01.986755+00",73.5
"e6cdbb4a-875e-4c7c-b638-5ffdcd0bd618","liso",35,"2022-01-05 23:52:34.966887+00",56.19
"a9b51d97-e0f0-41c3-a614-369a794cc3a8","cacheado",30,"2022-01-06 00:20:07.94702+00",58.49
"9e567e3d-66ac-4732-882f-5b9b01b8b927","crespo",38,"2022-01-06 00:47:40.927152+00",99.0
"3fb48ed9-6944-487d-bd7a-596154bb5363","crespo",35,"2022-01-06 01:15:13.907285+00",68.09
"56c53630-d7c2-412f-9e77-f71a9c868d62","ondulado",40,"2022-01-06 01:42:46.887417+00",77.93
"f3b47941-bf45-4047-a3ea-e9bc3131cfb3","ondulado",54,"2022-01-06 02:10:19.86755+00",55.24
"e0176e57-f8f9-4b25-88f8-f7a621efbade","ondulado",46,"2022-01-06 02:37:52.847682+00",54.67
"9be12ccb-c98d-430e-9d7b-5d610a814005","liso",29,"2022-01-06 03:05:25.827815+00",67.42
"40ee6d16-d10f-46f9-99fb-19d6c1c23cf3","ondulado",24,"2022-01-06 03:32:58.807947+00",58.27
"7c9a7bc1-968f-4e45-97cd-374833b77e45","liso",25,"2022-01-06 04:00:31.788079+00",77.74
"06972c48-b67c-4af1-b326-178fe9470112","crespo",32,"2022-01-06 04:28:04.768212+00",94.94
"17a9fa75-736c-41ca-8a8e-688523737322","liso",35,"2022-01-06 04:55:37.748344+00",62.62
"3c8d4699-ac3c-477b-a39c-018f137940ff","ondulado",27,"2022-01-06 05:23:10.728477+00",61.96
"3c71feaa-f7be-4c3f-8e6e-5a429aee6ec9","liso",38,"2022-01-06 05:50:43.708609+00",90.82
"69889ca3-a848-4d1e-ba89-01babdc3cce0","crespo",36,"2022-01-06 06:18:16.688742+00",89.23
"490e8a4d-894f-4ef7-be19-77253601f5d6","liso",46,"2022-01-06 06:45:49.668874+00",54.29
"fa1d3658-7389-4fa2-baca-679e8d751118","liso",27,"2022-01-06 07:13:22.649007+00",58.34
"6afa8357-24b4-4a09-b7a9-2a30adbc61c3","liso",33,"2022-01-06 07:40:55.629139+00",82.36
"53161cba-8857-47d9-8c05-3caa8abda621","crespo",39,"2022-01-06 08:08:28.609272+00",64.74
"2b1aabed-e290-4e31-8244-5402520ebe06","liso",39,"2022-01-06 08:36:01.589404+00",83.04
"f15bb923-e7a1-4c99-a8ec-b5ce124ff0b4","liso",21,"2022-01-06 09:03:34.569536+00",99.75
"e1129477-0f89-4699-a6f1-080415116b0e","crespo",27,"2022-01-06 09:31:07.549669+00",76.86
"3f5a403f-26f4-46dc-af34-80b67ee148b2","cacheado",30,"2022-01-06 09:58:40.529801+00",58.5
"e05b8b08-eb06-4841-bf76-0cb89e21ee62","crespo",55,"2022-01-06 10:26:13.509934+00",50.28
"747b335a-3686-4aa3-a55d-7ac094f713c0","crespo",51,"2022-01-06 10:53:46.490066+00",77.28
"29a99c7b-b671-4736-998b-411703b275fb","liso",46,"2022-01-06 11:21:19.470199+00",66.97
"370e636a-83a9-459b-99e4-7b87971c4b0f","cacheado",32,"2022-01-06 11:48:52.450331+00",84.56
"e1b45cba-c506-4956-9af3-36c080eee55f","ondulado",19,"2022-01-06 12:16:25.430464+00",68.26
"d63f9d06-3873-45bc-a0e3-bee8ca6a5a13","crespo",35,"2022-01-06 12:43:58.410596+00",97.63
"10d18d54-8853-4785-8acb-b5ece53cbed6","liso",35,"2022-01-06 13:11:31.390728+00",99.63
"927ffada-8073-40e3-8c38-4ac8b4eb21d0","crespo",26,"2022-01-06 13:39:04.370861+00",85.71
"4a1c662a-67d8-475a-9782-8d275376bf62","liso",43,"2022-01-06 14:06:37.350993+00",62.29
"91274f70-e0ab-40be-8576-f45b3b22282b","ondulado",26,"2022-01-06 14:34:10.331126+00",66.89
"a594f48d-2e78-4275-b6a3-5363a634400b","crespo",32,"2022-01-06 15:01:43.311258+00",87.17
"fe7a79f1-fea5-4fbd-91ad-6e772bc2ba11","ondulado",24,"2022-01-06 15:29:16.291391+00",51.8
"0f44cdb7-966f-41f3-a6d9-193e93e22b0e","crespo",28,"2022-01-06 15:56:49.271523+00",70.49
"55e24a37-e981-4d9e-94ff-6ee5ae55b933","liso",41,"2022-01-06 16:24:22.251656+00",57.14
"5f6f3dda-18cd-4127-8215-0edca076d332","cacheado",40,"2022-01-06 16:51:55.231788+00",91.1
"da2b5407-6596-4e00-932c-84f6871a3070","liso",29,"2022-01-06 17:19:28.211921+00",84.93
"db982763-ae44-4e28-97f1-ea28ead91a74","crespo",30,"2022-01-06 17:47:01.192053+00",63.9
"d30daa83-d735-4888-8234-ed8e3fa21119","liso",27,"2022-01-06 18:14:34.172185+00",73.29
"686abe4a-c2d1-400e-932e-1e810a44f8a3","crespo",34,"2022-01-06 18:42:07.152318+00",82.5
"b790f147-f22f-4f41-b844-f9eb2247d8d2","liso",29,"2022-01-06 19:09:40.13245+00",73.88
"68559fe3-a870-40b9-9283-2d16ff39852e","crespo",15,"2022-01-06 19:37:13.112583+00",96.73
"30bc7003-a9d5-4378-9cb3-34ab3a398b20","liso",30,"2022-01-06 20:04:46.092715+00",60.88
"66d1e990-5a60-4bc6-bef1-eb9aec465b5e","cacheado",30,"2022-01-06 20:32:19.072848+00",70.75
"b713e491-eb9d-4d88-bd02-5c5fd70f10ad","ondulado",16,"2022-01-06 20:59:52.05298+00",88.7
"7606d645-cefa-44c0-89be-e7100d37f113","liso",27,"2022-01-06 21:27:25.033113+00",80.48
"9e329cfb-ccaf-4b50-ac1c-25425204a399","liso",29,"2022-01-06 21:54:58.013245+00",51.7
"399f2a28-7cee-4652-b33c-677837552ee5","cacheado",41,"2022-01-06 22:22:30.993377+00",58.83
"03267e99-7652-4ab9-a11d-d49007567211","ondulado",23,"2022-01-06 22:50:03.97351+00",57.95
"2e2d0938-1098-47b0-ad5e-b194e3dc1ca5","liso",38,"2022-01-06 23:17:36.953642+00",82.72
"4c2e5506-c7ab-4330-b625-7f300f906bf4","cacheado",19,"2022-01-06 23:45:09.933775+00",63.19
"c0cef247-8377-46c2-b877-b3ee12ed085b","cacheado",24,"2022-01-07 00:12:42.913907+00",69.21
"f5ba99e5-2cd0-4f02-a6e6-0f2799b9d939","ondulado",19,"2022-01-07 00:40:15.89404+00",59.71
"cc7a5532-1ce0-4a8f-be88-c9b28883fcd7","ondulado",31,"2022-01-07 01:07:48.874172+00",84.58
"0ad62618-49a7-4e27-a7c6-f5f064b895f1","ondulado",32,"2022-01-07 01:35:21.854305+00",74.07
"8b3057a1-fc78-4ee8-98fa-18893c0d81f2","ondulado",41,"2022-01-07 02:02:54.834437+00",77.75
"13b8c97d-8950-4ea0-a781-7e5458dcfc09","cacheado",35,"2022-01-07 02:30:27.81457+00",77.85
"ece48906-2899-41f5-8f7e-c5877eebe141","liso",33,"2022-01-07 02:58:00.794702+00",65.05
"a7f85138-5504-4f30-b001-e111a9a2d091","liso",45,"2022-01-07 03:25:33.774834+00",97.91
"a488ef7c-3fe0-457d-af21-ccc3db8d57dd","liso",16,"2022-01-07 03:53:06.754967+00",61.17
"cc1339af-a6ee-403b-9ad1-b54ff92e9bc7","liso",16,"2022-01-07 04:20:39.735099+00",57.74
"2d4c82e8-fb5b-4000-8f50-cc1371cc0028","crespo",18,"2022-01-07 04:48:12.715232+00",90.06
"2ed037c6-057b-4f48-bc92-c73bbeb3677c","cacheado",34,"2022-01-07 05:15:45.695364+00",81.93
"0e6379c6-9c70-49cd-9684-1914b1618fa8","cacheado",29,"2022-01-07 05:43:18.675497+00",84.49
"4eb52939-e2a5-475e-9b51-9aa536fc855e","liso",28,"2022-01-07 06:10:51.655629+00",82.19
"e3cb089e-e789-4314-910f-4bc25a968a03","liso",31,"2022-01-07 06:38:24.635762+00",87.34
"45a59a89-77da-4ed4-9317-a4d7d9ce3af5","ondulado",62,"2022-01-07 07:05:57.615894+00",89.31
"177f570c-1565-42d2-b019-6fd83048bbc4","crespo",31,"2022-01-07 07:33:30.596026+00",69.18
"d21bddcd-a8e1-4387-94ad-b6999aad903a","crespo",17,"2022-01-07 08:01:03.576159+00",76.5
"d59e4655-2db8-48cb-82c5-cc7f3afdca24","cacheado",35,"2022-01-07 08:28:36.556291+00",75.0
"9b6e56db-7645-4986-b518-0d644bc4e1bc","crespo",29,"2022-01-07 08:56:09.536424+00",99.8
"5be95322-618d-4ab4-acb8-7d1a327e5d04","cacheado",44,"2022-01-07 09:23:42.516556+00",58.13
"e26ea82d-246f-4615-bca6-9a3ed3538895","ondulado",26,"2022-01-07 09:51:15.496689+00",67.68
"861c3c34-2c2a-4143-97eb-a8b27071cb61","liso",28,"2022-01-07 10:18:48.476821+00",95.46
"45527b0d-42bd-4727-9956-f72aacaa0baf","liso",30,"2022-01-07 10:46:21.456954+00",96.17
"fafc2825-fc80-401e-948d-23f42ab5364c","liso",44,"2022-01-07 11:13:54.437086+00",54.6
"ab86ce25-6154-43b4-ad58-f340678f7470","crespo",33,"2022-01-07 11:41:27.417219+00",71.31
"dc1de8ee-59fb-48fc-8b12-d747f139067f","liso",25,"2022-01-07 12:09:00.397351+00",63.37
"3e05046f-6b0f-4dd4-b1b2-c924d9c0d356","ondulado",44,"2022-01-07 12:36:33.377483+00",72.78
"af9a5794-b45b-4ec0-9354-655f299765f8","cacheado",35,"2022-01-07 13:04:06.357616+00",90.97
"a8cc48e3-5393-4e7a-8791-33c70c58075c","liso",18,"2022-01-07 13:31:39.337748+00",61.78
"453c697f-56c4-4a8a-9828-2444a14f4a67","liso",18,"2022-01-07 13:59:12.317881+00",68.46
"4e142796-e4d9-483d-8144-f5026cb3093b","liso",54,"2022-01-07 14:26:45.298013+00",70.25
"5c340505-93f6-4611-b289-05d45e489e55","crespo",50,"2022-01-07 14:54:18.278146+00",62.16
"54c97c83-b4db-412b-83e5-a6034ebe2767","cacheado",29,"2022-01-07 15:21:51.258278+00",69.58
"2d9f245d-c91a-475f-8c8a-ef3476dc4c1b","crespo",32,"2022-01-07 15:49:24.238411+00",91.9
"983ae7ed-bfd0-46aa-98ef-84ab32a8e7bb","ondulado",30,"2022-01-07 16:16:57.218543+00",60.66
"2220885e-b2e4-40cf-99f1-5a3e6d8d9f8f","ondulado",34,"2022-01-07 16:44:30.198675+00",50.42
"d643e277-cb51-47a4-a32b-12ac592a36cc","liso",32,"2022-01-07 17:12:03.178808+00",71.61
"5df95c8d-2e19-42a6-944d-7c454196b65c","crespo",31,"2022-01-07 17:39:36.15894+00",99.51
"5b656e95-eac3-4991-b112-90a3951f71fb","crespo",27,"2022-01-07 18:07:09.139073+00",99.34
"478f22c1-97f4-433d-a351-d71973ab61af","liso",26,"2022-01-07 18:34:42.119205+00",77.06
"966844e1-4bf8-4a52-921c-4cd9d8bdb492","liso",29,"2022-01-07 19:02:15.099338+00",86.88
"8655aed6-2091-486f-aa28-22242c471076","liso",27,"2022-01-07 19:29:48.07947+00",62.3
"846fad22-36c5-418d-a4dd-ad5ae755539f","ondulado",37,"2022-01-07 19:57:21.059603+00",58.69
"690aea0a-2044-43c5-afbc-3484fd91cad2","crespo",44,"2022-01-07 20:24:54.039735+00",80.28
"a0dd4023-ed64-4ab6-a420-54bb44a6600d","liso",21,"2022-01-07 20:52:27.019868+00",92.86
"497ff297-b61a-453a-a726-52cbd71a2a0b","ondulado",48,"2022-01-07 21:20:00+00",59.79
"31e49803-72e5-4857-a645-cacd8ec7a351","crespo",32,"2022-01-07 21:47:32.980132+00",86.85
"c06b1fbc-5b22-4b87-bbe7-fee589f25738","liso",39,"2022-01-07 22:15:05.960265+00",90.33
"30c71a49-27cc-4a8a-ba7d-a00534702dbe","ondulado",26,"2022-01-07 22:42:38.940397+00",92.57
"d808db41-ddd0-40f3-af9d-5929c25b9ccc","liso",24,"2022-01-07 23:10:11.92053+00",95.51
"8d6aff28-7627-4c41-a105-6b14fd53d55a","liso",25,"2022-01-07 23:37:44.900662+00",57.13
"f96a629d-c4ab-4d51-91cf-5e2a72e9dccf","ondulado",18,"2022-01-08 00:05:17.880795+00",99.98
"0d734028-3d00-4892-bafc-ab9cba978105","cacheado",42,"2022-01-08 00:32:50.860927+00",84.79
"6e680954-48f7-4df0-9e15-8ee85bc3e659","cacheado",33,"2022-01-08 01:00:23.84106+00",81.5
"0734c3d4-99d5-4fd0-abd7-3f5c0f9f55ff","cacheado",29,"2022-01-08 01:27:56.821192+00",70.84
"9318c1f9-930e-428a-8938-9ab56860ad0b","liso",22,"2022-01-08 01:55:29.801325+00",62.22
"c558944d-5783-46c9-a58c-d1eb99daff90","cacheado",45,"2022-01-08 02:23:02.781457+00",76.87
"cf2e693b-09ef-4aeb-8c6a-0761d8b2915d","cacheado",39,"2022-01-08 02:50:35.761589+00",55.0
"1b196831-876a-4891-9000-c5bebf3afda8","liso",25,"2022-01-08 03:18:08.741722+00",98.99
"830f7e77-bd4d-496d-901d-a829c721d316","liso",37,"2022-01-08 03:45:41.721854+00",87.84
"0954b5a3-8fba-4b1f-904c-525faaf0d412","crespo",31,"2022-01-08 04:13:14.701987+00",76.98
"38411a72-bc46-4b06-b3e6-d22110621d35","cacheado",31,"2022-01-08 04:40:47.682119+00",96.45
"e0051053-567c-418d-afbe-d7a6fb4f56f9","ondulado",22,"2022-01-08 05:08:20.662252+00",97.91
"b0677acf-6266-448f-86c8-6e4022df356f","cacheado",16,"2022-01-08 05:35:53.642384+00",83.72
"1073962d-4638-4e5d-945b-3a3ec1d0a406","crespo",50,"2022-01-08 06:03:26.622517+00",64.4
"d84209d2-d045-4899-bc8c-45d88ddd8dcb","ondulado",31,"2022-01-08 06:30:59.602649+00",85.05
"4857b786-1222-4689-8fd1-fe01a0864683","liso",23,"2022-01-08 06:58:32.582781+00",95.76
"d6261467-880b-4f03-bf1f-2d550a2b63b0","cacheado",36,"2022-01-08 07:26:05.562914+00",60.95
"8a47c9e8-40e5-4d50-8381-339e9ef28e1e","liso",32,"2022-01-08 07:53:38.543046+00",74.88
"9e6fbd73-a6e7-486a-a15c-6df6d3217393","ondulado",17,"2022-01-08 08:21:11.523179+00",72.49
"7de57cea-ba3f-4922-8cfc-887d23289acf","cacheado",42,"2022-01-08 08:48:44.503311+00",60.52
"a2635a35-cfb9-40e3-a917-0ed66cc20428","ondulado",31,"2022-01-08 09:16:17.483444+00",70.91
"bbfdedb5-2462-4fbb-8324-229bf22cdcb9","crespo",18,"2022-01-08 09:43:50.463576+00",86.68
"8e1aac9f-6d34-4749-9e95-7cccadb2ce56","liso",37,"2022-01-08 10:11:23.443709+00",87.67
"90a37b10-437c-4cad-80a7-31da890b5f11","liso",25,"2022-01-08 10:38:56.423841+00",68.58
"05a7bf3a-1f39-4703-8a18-c5b4cfb04535","liso",53,"2022-01-08 11:06:29.403974+00",75.83
"53c8e877-c1ec-443a-85c0-653048a979e5","crespo",47,"2022-01-08 11:34:02.384106+00",99.45
"151c99e3-6fa8-46dc-9b60-3957bd7981d4","liso",29,"2022-01-08 12:01:35.364238+00",90.9
"14818ee9-4c07-4b80-8b51-db14ebc41dfc","liso",42,"2022-01-08 12:29:08.344371+00",58.66
"15688750-257e-4526-8dff-b613f1748084","cacheado",27,"2022-01-08 12:56:41.324503+00",53.48
"d8134535-b408-447a-a78d-7e0727a9c452","ondulado",37,"2022-01-08 13:24:14.304636+00",69.5
"82bf78c4-8a38-4576-ada6-88fcbcf7a5fb","crespo",33,"2022-01-08 13:51:47.284768+00",92.37
"8c6c09f4-4f28-4880-9f99-dd8f653b7691","crespo",29,"2022-01-08 14:19:20.264901+00",58.79
"b7a34307-e86d-485c-a92b-0c4c61eb782b","liso",39,"2022-01-08 14:46:53.245033+00",90.11
"4331e0a5-44b9-4653-ae31-0f1426d87be4","cacheado",34,"2022-01-08 15:14:26.225166+00",73.71
"e43953ad-fe47-40e3-8bed-f6b7e77b95fe","cacheado",47,"2022-01-08 15:41:59.205298+00",98.42
"d238a291-3c88-4916-a165-b1af18be20d7","ondulado",33,"2022-01-08 16:09:32.18543+00",99.93
"c578f032-6827-48a3-9f6b-7f8ef948aa6f","liso",42,"2022-01-08 16:37:05.165563+00",77.24
"e09a59f9-3f0c-426d-a78a-7eb106148682","ondulado",30,"2022-01-08 17:04:38.145695+00",95.72
"7fbfd80c-79cd-4d64-9db4-ff7c63818b20","ondulado",31,"2022-01-08 17:32:11.125828+00",68.8
"dad09395-9b4e-4afd-a7d3-0cdd660dcbf8","ondulado",47,"2022-01-08 17:59:44.10596+00",63.87
"3e027d04-1b1b-48d9-ac55-b7b503d5463b","liso",38,"2022-01-08 18:27:17.086093+00",81.71
"7ac6fcf8-b994-4cf5-b950-7881f639faeb","ondulado",46,"2022-01-08 18:54:50.066225+00",95.32
"31e0423d-f2cf-4875-860e-f073c222f2c4","cacheado",30,"2022-01-08 19:22:23.046358+00",79.02
"1fbf8bac-a296-416b-acd8-68088d554f3d","crespo",40,"2022-01-08 19:49:56.02649+00",76.3
"8ec22bfc-ee04-4358-92db-f974b5477b9c","crespo",38,"2022-01-08 20:17:29.006623+00",56.27
"ca94de8e-0a18-4cbb-a23c-43b6e887ce4f","liso",37,"2022-01-08 20:45:01.986755+00",61.26
"1caa1550-b109-46fd-ae59-a313997b0a79","crespo",31,"2022-01-08 21:12:34.966887+00",69.5
"d29156a4-9ee2-40d9-96a9-42189e1f2de3","ondulado",35,"2022-01-08 21:40:07.94702+00",66.13
"4bcafe95-e9e8-4de4-a3c9-662eb83674bb","cacheado",28,"2022-01-08 22:07:40.927152+00",75.66
"49109eb3-9f23-40f1-b9fc-b79db688f0cf","cacheado",39,"2022-01-08 22:35:13.907285+00",72.93
"54ea147f-0495-4b46-aae0-1a5592f4d6ef","crespo",25,"2022-01-08 23:02:46.887417+00",55.0
"d93df580-fcab-4f3c-af97-e1f08a6eba94","liso",26,"2022-01-08 23:30:19.86755+00",79.72
"a9473f6b-8b15-4e5d-bbd1-8e128afa3561","crespo",42,"2022-01-08 23:57:52.847682+00",57.69
"ce02d20d-8b09-44de-95b3-e48e484c7aeb","crespo",26,"2022-01-09 00:25:25.827815+00",58.69
"c1e1c252-e440-4a29-90ff-0d88a0c806d0","cacheado",24,"2022-01-09 00:52:58.807947+00",80.19
"94457327-7684-4657-942e-937a1e5901ba","crespo",34,"2022-01-09 01:20:31.788079+00",52.78
"b495f977-f301-44e0-a69b-ea7c6b1b7983","ondulado",22,"2022-01-09 01:48:04.768212+00",94.0
"2e46fc48-4185-48a0-8791-25ea0e49efba","crespo",20,"2022-01-09 02:15:37.748344+00",96.45
"31a98f79-ef9e-413d-86d6-49c4f1c5ddea","crespo",41,"2022-01-09 02:43:10.728477+00",53.23
"a2062604-5c3f-4665-8703-4c9e4e064713","liso",33,"2022-01-09 03:10:43.708609+00",78.53
"ad894455-e6e0-4510-96de-ba20dd278a92","liso",30,"2022-01-09 03:38:16.688742+00",74.81
"74f69e83-9d27-489d-b1c4-ad39cfa809f9","ondulado",19,"2022-01-09 04:05:49.668874+00",56.68
"d04e25d8-58b1-465d-8ccc-b6d824130e9e","ondulado",17,"2022-01-09 04:33:22.649007+00",94.92
"c7539171-a30a-42fb-a89e-c77c1e95920f","liso",53,"2022-01-09 05:00:55.629139+00",97.49
"403b0760-9525-4d67-b9fb-f654566fb236","crespo",43,"2022-01-09 05:28:28.609272+00",74.6
"b453bf3d-25e5-4a03-90ba-27f36560955c","cacheado",22,"2022-01-09 05:56:01.589404+00",86.73
"3b6d8701-3c7d-4de8-91b3-3182cea3a481","liso",23,"2022-01-09 06:23:34.569536+00",56.59
"836655b9-0ecc-4df9-b1f9-18c5ec76f265","ondulado",36,"2022-01-09 06:51:07.549669+00",81.36
"fd7de5d7-b29b-41be-b4a4-85c5bba4ec11","cacheado",33,"2022-01-09 07:18:40.529801+00",94.09
"8d3e84e1-623e-49a6-9b43-fc6c70aefcc1","cacheado",44,"2022-01-09 07:46:13.509934+00",75.87
"a16efc19-606c-4055-84db-33d6ca30f232","crespo",34,"2022-01-09 08:13:46.490066+00",98.81
"2db7b095-4b0c-48b2-a4a4-d617fe792c13","ondulado",64,"2022-01-09 08:41:19.470199+00",82.0
"1e39c1df-0b0a-435f-9890-ba68b5b29ee7","cacheado",35,"2022-01-09 09:08:52.450331+00",69.68
"cba527d8-feb3-4fe6-8a9a-815245bb5fd1","crespo",23,"2022-01-09 09:36:25.430464+00",81.7
"7c620839-66a0-48f1-af55-aa7e38204650","cacheado",20,"2022-01-09 10:03:58.410596+00",84.97
"7554fd82-3cd3-45bd-b160-ba9a6b91b5af","ondulado",20,"2022-01-09 10:31:31.390728+00",97.69
"990ba405-f774-4d04-8bda-a7fb1ef8dc85","liso",29,"2022-01-09 10:59:04.370861+00",73.26
"b08a839b-0911-47e6-bc03-6432bed908da","liso",33,"2022-01-09 11:26:37.350993+00",69.15
"223be2b8-8cd3-44c7-8298-d84c4f364b0e","liso",19,"2022-01-09 11:54:10.331126+00",74.14
"a8600def-e0e6-4a40-b376-1927ca8c7004","crespo",33,"2022-01-09 12:21:43.311258+00",71.8
"11437083-ee00-411e-892d-6f6a1e8214df","crespo",46,"2022-01-09 12:49:16.291391+00",72.89
"41bbbb25-9d7b-4dc5-bf2f-fce708269e59","crespo",60,"2022-01-09 13:16:49.271523+00",68.53
"7f37573e-d013-4ddc-8c44-601b81b77511","cacheado",33,"2022-01-09 13:44:22.251656+00",70.68
"78f1356f-2f73-4aa1-8b4e-b6fafb982b9c","crespo",26,"2022-01-09 14:11:55.231788+00",73.06
"97ff1486-dde5-42be-8ebc-91a908153f36","cacheado",30,"2022-01-09 14:39:28.211921+00",64.64
"ae30aa91-47bd-484b-99a6-43da83229958","crespo",55,"2022-01-09 15:07:01.192053+00",81.35
"73f584f1-b99e-4465-850d-4b5e9489d5c0","crespo",42,"2022-01-09 15:34:34.172185+00",69.83
"db2c5c86-98b7-4c4b-ac46-39aaaff9195f","crespo",27,"2022-01-09 16:02:07.152318+00",54.35
